node_id,type,name,country,region,city,capacity_per_day,capacity_unit,base_cost_per_unit,lead_time_days,failure_probability,co2e_per_unit,min_order_qty,is_active,notes,label
PLANT_1,plant,Harbour Brew Co. - Main Brewery (Halifax),Canada,NS,Halifax,38000,liters_beer,0.18,0,0.01,0.22,0,1,Primary plant,critical
PLANT_2,plant,Harbour Brew Co. - Small Batch Plant (Moncton),Canada,NB,Moncton,14000,liters_beer,0.21,0,0.012,0.25,0,1,Secondary plant,critical
WH_1,warehouse,Cold Storage - Halifax,Canada,NS,Halifax,70000,cases,0.04,0,0.02,0.03,0,1,FG + some inputs,critical
WH_2,warehouse,Ambient Warehouse - Moncton,Canada,NB,Moncton,60000,cases,0.035,0,0.02,0.03,0,1,FG + package,critical
DC_1,distribution_center,Atlantic DC - Moncton,Canada,NB,Moncton,90000,cases,0.05,1,0.02,0.04,0,1,Regional DC,critical
DC_2,distribution_center,Quebec DC - Montreal,Canada,QC,Montreal,110000,cases,0.055,2,0.02,0.04,0,1,Regional DC,critical
DC_3,distribution_center,New England DC - Boston,USA,MA,Boston,85000,cases,0.06,2,0.025,0.05,0,1,Cross-border DC,critical
PORT_1,port,Halifax Port / Freight Hub,Canada,NS,Halifax,999999,shipments,0.01,0,0.03,0.02,0,1,External logistics hub,critical
PROD_PILSNER,product,Harbour Pilsner (355ml can),Canada,NS,Halifax,999999,unit,0,0,0,0,0,1,Finished product,critical
PROD_IPA,product,Harbour IPA (355ml can),Canada,NS,Halifax,999999,unit,0,0,0,0,0,1,Finished product,critical
PROD_WHEAT,product,Harbour Wheat (500ml bottle),Canada,NS,Halifax,999999,unit,0,0,0,0,0,1,Finished product,critical
PROD_FRUIT_SOUR,product,Harbour Fruit Sour (355ml can),Canada,NS,Halifax,999999,unit,0,0,0,0,0,1,Finished product,critical
PROD_ORANGE_WIT,product,Harbour Orange Wit (355ml can),Canada,NS,Halifax,999999,unit,0,0,0,0,0,1,Finished product,critical
PROD_STOUT,product,Harbour Stout (355ml can),Canada,NS,Halifax,999999,unit,0,0,0,0,0,1,Finished product,critical
PROD_SESSION_IPA,product,Harbour Session IPA (355ml can),Canada,NS,Halifax,999999,unit,0,0,0,0,0,1,Finished product,critical
PROD_SODA_WATER,product,Harbour Soda Water (355ml can),Canada,NS,Halifax,999999,unit,0,0,0,0,0,1,Finished product,critical
ING_WATER,ingredient,Municipal Water,Canada,QC,Montreal,999999,m3,0.001,0,0.015,0.005,0,1,Component,critical
ING_BARLEY_MALT,ingredient,Barley Malt (Base),Canada,NB,Saint John,999999,kg,0.65,7,0.015,0.03,500,1,Component,critical
ING_WHEAT_MALT,ingredient,Wheat Malt,USA,MA,Boston,999999,kg,0.72,6,0.015,0.03,300,1,Component,critical
ING_ROASTED_MALT,ingredient,Roasted Malt,Canada,ON,Toronto,999999,kg,0.95,8,0.015,0.04,200,1,Component,critical
ING_OATS_FLAKED,ingredient,Flaked Oats,USA,ME,Portland,999999,kg,0.55,7,0.015,0.03,200,1,Component,critical
ING_HOPS_CITRA,ingredient,Citra Hops (Pellet T90),Canada,MB,Winnipeg,999999,kg,7.2,10,0.02,0.08,20,1,Component,critical
ING_HOPS_CASCADE,ingredient,Cascade Hops (Pellet T90),Canada,BC,Vancouver,999999,kg,6.1,9,0.02,0.07,20,1,Component,critical
